2025-08-11 04:48:34.844+09:00 | main | INFO  | Besu | Starting Besu
2025-08-11 04:48:36.424+09:00 | main | INFO  | Besu | jemalloc library not found, memory usage may be reduced by installing it
2025-08-11 04:48:36.706+09:00 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version 23.10.1                                                                             #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file specified                                                           #
# Network Id: 2025                                                                                 #
# Data storage: Forest                                                                             #
# Sync mode: Full                                                                                  #
# RPC HTTP APIs: ETH,NET,WEB3                                                                      #
# RPC HTTP port: 8547                                                                              #
# Using LAYERED transaction pool implementation                                                    #
#                                                                                                  #
# Host:                                                                                            #
# Java: openjdk-java-17                                                                            #
# Maximum heap size: 5.80 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.39                                                                                      #
# Total memory: 23.22 GB                                                                           #
# CPU cores: 8                                                                                     #
#                                                                                                  #
# Plugins:                                                                                         #
# TOTAL = 0 of 0 plugins successfully loaded                                                       #
# from /opt/besu/plugins                                                                           #
#                                                                                                  #
####################################################################################################
2025-08-11 04:48:36.720+09:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2025-08-11 04:48:36.720+09:00 | main | INFO  | Besu | Security Module: localfile
2025-08-11 04:48:36.941+09:00 | main | INFO  | Besu | Using the native implementation of alt bn128
2025-08-11 04:48:37.128+09:00 | main | INFO  | Besu | Using the native implementation of modexp
2025-08-11 04:48:37.133+09:00 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2025-08-11 04:48:37.201+09:00 | main | INFO  | Besu | Using the native implementation of the blake2bf algorithm
2025-08-11 04:48:38.012+09:00 | main | INFO  | KeyPairUtil | Loaded public key 0x6153cf3b9124d299ffccd03ddc1758fb2c08de75a3716f5b64650905a80f5cbe600168e1428e7b64db74f3965a73d58e662fa92699ba8739c60efe0906d2e6df from /home/yelin/Mutual-Cloud/network/node-3/data/key
2025-08-11 04:48:38.410+09:00 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [London:0]
2025-08-11 04:48:38.522+09:00 | main | INFO  | DatabaseMetadata | Lookup database metadata file in data directory: /home/yelin/Mutual-Cloud/network/node-3/data
2025-08-11 04:48:38.690+09:00 | main | INFO  | RocksDBKeyValueStorageFactory | Existing database detected at /home/yelin/Mutual-Cloud/network/node-3/data. Version 1. Compacting database...
2025-08-11 04:48:39.478+09:00 | main | INFO  | TransactionPoolFactory | Enabling transaction pool
2025-08-11 04:48:39.521+09:00 | main | INFO  | BesuControllerBuilder | TTD difficulty is not present, creating initial sync phase for PoW
2025-08-11 04:48:39.593+09:00 | main | INFO  | IbftBesuControllerBuilder | Starting IBFT mining coordinator
2025-08-11 04:48:40.811+09:00 | main | INFO  | RunnerBuilder | Detecting NAT service.
2025-08-11 04:48:41.050+09:00 | main | INFO  | Runner | Starting external services ... 
2025-08-11 04:48:41.051+09:00 | main | INFO  | JsonRpcHttpService | Starting JSON-RPC service on 127.0.0.1:8547
2025-08-11 04:48:41.261+09:00 | vert.x-eventloop-thread-1 | INFO  | JsonRpcHttpService | JSON-RPC service started and listening on 127.0.0.1:8547
2025-08-11 04:48:41.272+09:00 | main | INFO  | AutoTransactionLogBloomCachingService | Starting auto transaction log bloom caching service.
2025-08-11 04:48:41.273+09:00 | main | INFO  | LogBloomCacheMetadata | Lookup cache metadata file in data directory: /home/yelin/Mutual-Cloud/network/node-3/data/caches
2025-08-11 04:48:41.285+09:00 | main | INFO  | Runner | Starting Ethereum main loop ... 
2025-08-11 04:48:41.286+09:00 | main | INFO  | NatService | No NAT environment detected so no service could be started
2025-08-11 04:48:41.286+09:00 | main | INFO  | NetworkRunner | Starting Network.
2025-08-11 04:48:41.307+09:00 | nioEventLoopGroup-2-1 | INFO  | RlpxAgent | P2P RLPx agent started and listening on /[0:0:0:0:0:0:0:0]:30305.
2025-08-11 04:48:41.309+09:00 | main | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30305
2025-08-11 04:48:41.349+09:00 | vert.x-eventloop-thread-1 | INFO  | VertxPeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0:0:0:0:0:0:0:0%0 and port=30305
